Title,Text,Label
Precio dolar hoy: la cotizacion de la divisa aumento y supero los $4.300.,"Este martes, 2 de agosto, el dolar alcanzo un precio maximo de $4.328 y un minimo de $4.245. Ademas, se negociaron US$889,35 millones en 1.650 transacciones. Un cambio en la divisa que representa una subia de $68,55 frente a la Tasa Representativa del Mercado (TRM hoy), que es de $4.314,54. TRM hoy: siga la cotizacion del dolar, en vivo, hoy viernes 22 de julio Le puede interesar: Cinco recomendaciones para hacerle el quite al precio del dolar y a la inflacion Escuche el podcast El Mundo Hoy ",Macroeconomía
Es cierto: El presidente Gustavo Petro quiere que se acabe el detestable impuesto del 4 x 1000. Aqui le contamos como seria,"No hay nada mas permanente que lo temporal y asi ocurrio con el impuesto del 4 x 1.000 con el que se gravaron algunas operaciones financieras. Aunque multiples veces se han radicado proyectos de ley en el Congreso de la Republica para desmontarlo, hasta el momento ninguno ha tenido exito y ya tiene 24 anos de vigencia en Colombia. Este impuesto, tambien conocido como gravamen a los movimientos financieros (GMF), nacio para hacerle frente a la crisis bancaria por la que estaba pasando el pais en 1998 y, en ese entonces, se esperaba que su vigencia fuera solo por un ano. Sin embargo, su eliminacion se fue postergando con el pasar de los anos porque se convirtio en una fuente de financiacion para la reconstruccion de zonas afectadas por el terremoto del Eje Cafetero (1999) y ayudo a enfrentar la crisis de 2014 por el desplome de los precios de petroleo, que afecto fuertemente los ingresos de la nacion. Al parecer, despues de 24 anos de vigencia este impuesto podria llegar a su fin en Colombia , pero no para todos los colombianos, de acuerdo con una propuesta que fue incluida en el proyecto de ley de la reforma tributaria que radico el Ministerio de Hacienda el pasado lunes 8 de agosto . De acuerdo con el director de Impuestos y Aduanas Nacionales (Dian), Luis Carlos Reyes, si se aprueba el articulo 64 de la reforma tributaria, se acaba el 4 x 1.000 para quienes hagan movimientos menores a $13,3 millones al mes. ""Ya existe una exencion para una sola cuenta bancaria marcada. En adelante, los bancos deberan consolidar informacion entre ellos para que la exencion aplique sin necesidad de marcar la cuenta"", dijo. Cuando se creo, este impuesto era de solo un 2 x 1.000 , es decir, que se debian pagar $2 por cada $1.000 de alguna operacion financiera. Luego se incremento a un 3 x 1.000 y en 2006 subio al 4 x 1.000 actual, que se cobra, por ejemplo, por los retiros en cajeros o ventanilla, desembolsos de creditos o transacciones en cuentas corrientes o de ahorro . Contrario a lo que muchos colombianos piensan, aunque son las entidades financieras las encargadas de recaudar este impuesto del 4 x 1.000, este dinero finalmente llega a las arcas de la nacion para financiar el Presupuesto General de cada ano. Es decir, que no es un dinero con el que se queden los bancos. De acuerdo con datos de la Dian, con corte a abril de 2022, desde la entrada en vigencia del 4 x 1.000 el total de ingresos que ha tenido la Nacion por este impuesto son $107,4 billones . Ademas, destaca que su recaudo bruto ha tenido de manera continua un crecimiento ano tras ano. Ha sido reiterativo en estudios de diversa indole que el 4 x 1.000 es un impuesto que impacta la inclusion financiera y estimula a los ciudadanos a guardar la plata debajo del colchon , realizar transacciones en efectivo y otras practicas que no son sanas para la economia, pues lo ideal es que toda transaccion sea visible, a fin de que la fiscalizacion del pago de impuestos pueda ser mas eficiente, lo que genera equidad: todos aportando para que el pais se desarrolle. Voceros de los bancos habian mencionado que ya casi nadie pagaba el 4 x 1.000 o transacciones a los movimientos financieros, pues cada persona podia quedar exonerado, si tenia una cuenta marcada. Aun asi, el gravamen ponia plata a la bolsa publica y lo que se le oyo decir el ministro Jose Antonio Ocampo, previo a la radicacion de la reforma tributaria, era que no lo eliminaban porque no habia con que reemplazarlo. ",Regulaciones
Gustavo Petro: ?Que dice el informe final de su equipo de empalme?,"El equipo de empalme del gobierno del presidente electo, Gustavo Petro , dio serias alertas sobre el deficit fiscal con el que se encontro durante el proceso de transicion, lo que llevaria a la eliminacion de algunas politicas publicas que viene ofreciendo de Ivan Duque a las familias mas necesitadas de Colombia para aliviar la situacion en la que viven producto de la pandemia de COVID-19. Las declaraciones de este equipo tecnico pone en duda la continuidad de algunos beneficios sociales como el Ingreso Solidario, MiCasaYa, entre otros. ?Que dice el informe final de su equipo de empalme ? Te lo contamos en esta nota. Segun Radio Nacional de Colombia , las declaraciones del equipo de empalme de Gustavo Petro generan muchas dudas acerca de la continuidad de algunos beneficios sociales que se han venido otorgando durante el gobierno de Ivan Duque . La advertencia de ese equipo no supone un ""juicio politico"" al actual gobierno, segun manifesto Daniel Rojas, coordinador del equipo de empalme del presidente electo, sino una advertencia para los colombianos respecto a como esta recibiendo el pais Gustavo Petro . Dentro de las 'alertas criticas' estan: la realidad fiscal colombiana , la financiacion de transferencias monetarias como Ingreso Solidario , contratos en el sistema educativo y la ejecucion de los dineros de la Paz ""El nivel de endeudamiento y el deficit fiscal que encontramos para el proximo cuatrienio es critico, por lo tanto, la reforma tributaria que cursara en el Congreso de la Republica se convierte en una reforma imprescindible para llevar a cabo la reforma de gobierno"", explico el coordinador del equipo de empalme del presidente electo. Entre las alertas criticas que realizo el informe final del equipo de empalme de Gustavo Petro se encuentran: El equipo de empalme de Gustavo Petro , tras analizar y revisar la contratacion, el presupuesto y el recurso humano del gobierno saliente del presidente Ivan Duque , se planteo la continuidad de los siguientes programas y politicas publicas: El equipo de empalme de Gustavo Petro , senalo que son mas de 10 proyectos del gobierno de Ivan Duque los que no tendran extension alguna desde el proximo 7 de agosto, fecha en la que asumira el electo mandatario de izquierda. Entre los programas y politicas publicas que no continuaran con Gustavo Petro , se encuentran: ",Regulaciones
Cuanto cuesta y como enviar dinero de Estados Unidos a otros paises: remesas del viernes 12 de agosto,"?Buscas opciones para el envio de dinero de Estados Unidos a Mexico y otros paises ? Hay varias modalidades para que las remesas, que son el dinero que los migrantes y trabajadores envian a sus paises de origen, lleguen a los bolsillos de sus seres queridos. A continuacion, encontraras la cotizacion de este viernes 12 de agosto en Western Union , una de las plataformas mas utilizadas y con mayor cobertura en America Latina. En el periodo de enero a junio de 2022, el 98,8 por ciento del total de los ingresos por remesas se realizo a traves de transferencias electronicas , en efectivo, especie y money orders. Recuerda que, antes de elegir cualquier servicio, tienes que preguntar cual es la comision que te cobraran o si incluye otros cargos. Si el envio no es urgente, las opciones no inmediatas son mas baratas. Entre las empresas mas usadas para el envio de remesas de Estados Unidos, se encuentran Western Union, MoneyGram y Vigo . Cotizacion de remesas a Mexico desde Western Union del 12 de agosto En caso de cobro en agencia: El cargo por transferencia es de 2,99 dolares. En cuenta bancaria: Cotizacion de remesas a Colombia desde Western Union del 12 de agosto En caso de cobro en agencia: El cargo por transferencia es de 2,99 dolares. En cuenta bancaria: 1 dolar =3989,8121 COP. Cotizacion de remesas a Argentina desde Western Union del 12 de agosto En caso de cobro en agencia: El cargo por transferencia es de 15,99 dolares. En cuenta bancaria: Los envios de dinero desde Estados Unidos a Latinoamerica pueden consultarse en este enlace. Otras opciones para enviar dinero desde Estados Unidos a Mexico son las siguientes: Western Union y Mercado Pago presentaron una alternativa para que los usuarios en Mexico puedan recibir dinero desde Estados Unido s. Los que se encuentren en ese pais pueden acudir a una sucursal, asi como usar la pagina web y la aplicacion de la institucion. Si se desea hacer el envio de forma fisica, el emisor debera compartir en la ventanilla los datos del receptor como aparecen en su cuenta de Mercado Pago y no se debera pagar ninguna comision para recibir el dinero, ya que unicamente el emisor en el pais norteamericano tendra la tarifa. El limite es de 4999 dolares y se puede enviar desde otros lugares del mundo. Tambien hay otras alternativas para mandar dinero de Estados Unidos a Mexico por criptomonedas como la Bitso Shift, Coinbase, con la opcion de hacer retiros en Oxxos. Hay una opcion habilitada por la Secretaria de relaciones exteriores y Telecom, a traves de la tarjeta Remesas Paisanos con la que se envia dinero sin cobrar comisiones. Esta disponible en efectivo a Mexico, Colombia y Argentina. Este servicio permite abrir una cuenta de ahorro y enviar dinero a tu familia a una cuenta de un banco mexicano. El cliente paga comisiones bajas y el servicio tarda un dia habil en estar disponible para los beneficiarios en Mexico. Necesitas abrir la cuenta en una institucion financiera con convenio directo a Mexico en Estados Unidos. Algunos bancos norteamericanos trabajan con bancos mexicanos para enviar dinero. Hay opciones como: El migrante debe tener una cuenta de cheques o de ahorro en un banco en Estados Unidos , mientras que el beneficiario debera tener una en alguna institucion financiera mexicana, en la que se pondran los recursos. Algunos bancos en Estados Unidos tienen cuentas especificas para enviar dinero a Mexico en tarjetas de debito. Esta forma de envio de dinero se realiza a traves de empresas que usan una pagina como medio de operacion. Tienen convenios con bancos y agentes en Mexico que entregan la remesa al beneficiario, por pago en ventanilla, deposito o entrega a domicilio. No se necesita tener una cuenta, se puede comprar en establecimientos de Estados Unidos sin identificacion y se le da al beneficiario. Son conocidas como Money Orders, documentos de empresas de transferencias de dinero. El envio se hace por correo. Segun el Servicio de Administracion Tributaria (SAT), de Mexico, si obtienes ingresos por medio de remesas, debes pagar el impuesto sobre la renta (ISR). No obstante, el articulo 93 de la Ley Federal del Impuesto sobre la Renta contempla varias exenciones, ya que contarian como donativos y no deben incluirse en la declaracion anual si: ",Regulaciones
?Cuanto cuesta hacer mercado en Venezuela? Este es el precio de la canasta familiar,"El precio de los alimentos sube y baja con frecuencia, pero en los ultimos meses los venezolanos han sido testigos de una subida de costos en los productos de la canasta familiar que estan resultando impagables. Segun el Centro de Documentacion y Analisis de los Trabajadores (Cenda), se registro un incremento del 11,9 % durante el pasado mes de junio, convirtiendose en la cifra mas elevada de este ano. Igualmente, el costo de vida en dolares tuvo un incremento del 16 % durante el primer semestre de 2022, lo que afecto, sobre todo, a las empresas productoras y el poder adquisitivo de los asalariados. Ahora, con el actual salario minimo (30 dolares) a los venezolanos les estaria alcanzando para comprar algo de aceite y carne; sin embargo, no seria suficiente para la manutencion de una familia. El Cenda senalo que por la inflacion en junio, que alcanzo el 14,5 %, el salario minimo perdio valor, puesto que les permite a los ciudadanos adquirir el 6,9 % de la canasta familiar, o el 9,3 % si se tiene en cuenta el bono alimenticio que entrega el gobierno de Nicolas Maduro. Teniendo en cuenta dichas cifras, el Centro de Informacion indico que la canasta alimentaria esta en 1.880 bolivares, que serian 343 dolares y en pesos colombianos 1.473.914; por lo que un venezolano necesita 11,7 salarios minimos para comprar los 60 productos que incluye la canasta familiar. La entidad de analisis tambien indico que los productos que registran mayor aumento son: el aceite (18,6 %), cereales (18,1 %), sal y mayonesa (9,3 %), carne (5,4 %), pescados y mariscos (5 %), leche, huevo y queso (3 %). ?Habra que cambiar el pan por la arepa para el desayuno? Esa es una alternativa que se pone sobre la mesa ante la crisis que atraviesa el sector panadero de Colombia, que ya genera escozor entre los participantes de este mercado y los consumidores. Las campanas de una inminente alza de precios sonaban desde principios del an o, cuando los representantes del gremio aducian que el aumento en los precios de los insumos, como el trigo, materia prima de este producto, eran tan solo uno de los factores que tenia en apuros a las panaderias del pais. El panorama en el segundo semestre del ano no es tan diferente. Como lo advierte Arturo Castillo, concejal de Ibague, en su cuenta oficial de Twitter, urge tomar medidas con respecto a este asunto, al tratarse de uno de los productos basicos de la canasta familiar. ""Hacemos un llamado muy especial al Congreso de la Republica y al Gobierno nacional para que iniciemos el debate sobre los valores y la regulacion de los precios de los insumos para la elaboracion del pan en Colombia"", manifesto el funcionario en un video. Segun explica, las circunstancias actuales del mercado estan afectando la productividad de un sector que no solo es clave dentro de la industria alimenticia, sino de negocios que son fuente de empleo en el pais. ""Desde Ibague tenemos la preocupacion de las mas de mil panaderias que existen en la ciudad y en el pais"", alerto Castillo. Orlando Jimenez, vicepresidente de la Union Nacional de Comerciantes en el Atlantico, habia alertado sobre esta situacion en SEMANA a comienzos del mes de junio. ""El pan de $200 pesos ya no se consigue en las panaderias industriales. Lo que estan vendiendo ahora es un pan de $500 pesos, pero le han reducido el tamano y de pronto sacrifican parte de la utilidad. Pero la industria panificadora tiene bastantes complicaciones por este tema"", anadio Jimenez. Hay que recordar que las afectaciones de este sector no son nuevas. Son varios los factores que estan poniendo 'contra los hornos' a los panaderos; entre ellos, las dificultades de la cadena logistica y las tensiones que persisten por la guerra entre Rusia y Ucrania. ?Pero que tendria que ver este conflicto con el pan en Colombia? La respuesta es mucho. Solamente Rusia y Ucrania son responsables de hasta 30 % de las exportaciones mundiales del trigo, materia prima para la elaboracion del pan, siendo Rusia el segundo lider de este segmento, como lo indica un informe del Banco Mundial. La problematica recae en que, al concentrar una parte importante del mercado, las restricciones que se han impuesto a las exportaciones de este y otros cereales han aumentado su precio. ",Macroeconomía
El unicornio Clara logra financiamiento de 150 mdd por Goldman Sachs,"Nos permite continuar con esta trayectoria de crecimiento que cada vez mas empresas puedan disfrutar y aprovechar de la tecnologia que hemos creado en Clara. Nos permite extenderle a las empresas acceso a este financiamiento de corto plazo con terminos competitivos y nos libera tambien mas recursos para seguir invirtiendo en la tecnologia, dijo en entrevista con Expansion Gerry Giacoman, cofundador y CEO de Clara. El financiamiento de parte de Goldman Scahs tambien permitira duplicar a finales de 2022 el numero de clientes que atiende. Actualmente son 5,000. Las empresas de sectores de construccion, comunicaciones y hospedaje son las que mas han demandado los servicios de Clara, de acuerdo con la firma. Pese a un entorno economico complejo en los siguientes meses, causado por una desaceleracion economica en Estados Unidos, Giacoman dijo que las empresas siguen operando y demandando sus servicios, aunque si han visto una reduccion en el gasto de marketing. Clara busca apostar por inversion en tecnologia como la inteligencia artificial. ""Nos motiva mucho seguir creando una solucion que sea tan robusta y atractiva para empresas de todos tamanos"", destaco el directivo. Ademas de trabajar con Goldman Sachs, Clara anuncio la contratacion de Andre Henrique Santoro, que se unira al equipo como Chief Risk Officer. Santoro aportara mas de 15 anos de experiencia en gestion de riesgos, incluyendo su paso por CitiBank y RappiBank Brasil. ",Innovación
Citibanamex atraeria ofertas para su venta de entre US$7.000 y US$8.000 millones,"Bloomberg -- La unidad mexicana de Citigroup Inc. (C), Banamex, podria atraer ofertas de entre US$7.000 millones y US$8.000 millones, a medida que se reduce el numero de postores, segun personas familiarizadas con el asunto. Grupo Financiero Banorte, Grupo Financiero Inbursa de Carlos Slim, el magnate minero German Larrea y Grupo Financiero Mifel siguen en puja, segun las personas, que pidieron no ser identificadas porque se trata de conversaciones privadas. Slim, con un patrimonio neto de US$73.500 millones, y Larrea, quien junto con su familia posee una fortuna de alrededor de US$24.300 millones, segun el indice de multimillonarios de Bloomberg, son las dos personas mas ricas de America Latina. Los representantes de Citigroup, Banorte e Inbursa declinaron hacer comentarios. Los representantes de Mifel y Grupo Mexico de Larrea no respondieron a las solicitudes de comentarios. El proceso de venta continua y las ofertas por la unidad podrian cambiar, dijeron las personas. A principios de ano, Citigroup con sede en Nueva York puso a la venta su unidad minorista Banamex despues de que su participacion en los depositos mexicanos cayera casi un 10% en las dos decadas posteriores a la compra del Banco Nacional de Mexico en 2001. Banorte, que es el segundo banco mas grande de Mexico por creditos totales, solo superado por Banco Bilbao Vizcaya Argentaria SA, es visto como el principal contendiente para Banamex. Banco Santander SA dijo el 22 de julio que quedaba fuera del proceso de licitacion despues de que Citigroup rechazara una oferta de US$6.000 millones del banco espanol, dijeron las personas. Un representante de Santander declino hacer mas comentarios. El proceso de venta ha sido lento, segun personas cercanas a las conversaciones. Mientras tanto, Citigroup ha considerado un acuerdo para comprar la unidad mexicana del banco Deutsche Bank AG para obtener mas rapidamente una licencia para operaciones alli enfocadas en clientes institucionales y banca privada. Frank Aguado, el jefe de relaciones con inversionista de Inbursa, dijo la semana pasada que la empresa estaria interesada en comprar Banamex a un precio ""razonable"". En una llamada, senalo a los analistas que Inbursa esta invitando a otros empresarios mexicanos a unirse a su oferta, pero que aun no hay un grupo definido. Larrea, quien controla la minera de cobre Grupo Mexico, contrato al presidente de Grupo Aeromexico SAB, Javier Arrigunaga asi como a Pedro Aspe para que lo asesore, dijo la gente. Aspe se desempenaba como secretario de Hacienda de Mexico cuando Banamex y otros prestamistas fueron reprivatizados en 1991, luego de haber sido nacionalizados durante una crisis financiera una decada antes. Arrigunaga, que estuvo al frente de Citibanamex desde 2010 hasta que renuncio en 2014 en medio de las denuncias por un total de US$400 millones en prestamos fraudulentos al proveedor de servicios petroleo Oceanografia SA. Oceanografia nego haber actuado mal y senalo que los casos en curso aun no han dado lugar a ningun fallo en contra de la empresa desde que se presentaron por primera vez en 2014. Ambos se unieron como asesores junto con Barclays Plc, segun reporto Bloomberg anteriormente. Esta nota fue actualizada el 5 de agosto. Corrige para agregar la respuesta de Oceanografia en el penultimo parrafo. Lea mas en Bloomberg.com (c)2022 Bloomberg L.P. (c)2022 Bloomberg L.P. ",Alianza
